"Šifra";"Naziv proizvoda";"Brend";"Kategorija";"Aktualna cijena (EUR)";"Redovna cijena (EUR)";"Dostupne veličine";"Boja";"Dostupnost";"Poveznica"
"KOA01_WHITE_C";"BIANCOMOLINA KLOMPE S JASTUKOM";"BIANCOMOLINA";"Žensko - Obuća - Anatomska obuća - Klompe";"44,99";"49,99";"36, 42";"bijela";"Dostupno";"https://woolf.hr/klompe-s-jastukom-proizvod-10728/"
"KOA01_HEART";"BIANCOMOLINA KLOMPE S JASTUKOM";"BIANCOMOLINA";"Žensko - Obuća - Anatomska obuća - Klompe";"49,99";"54,99";"36, 37";"sareno";"Dostupno";"https://woolf.hr/klompe-s-jastukom-proizvod-10734/"
"KOA01_BLACK_CP";"BIANCOMOLINA KLOMPE S JASTUKOM";"BIANCOMOLINA";"Žensko - Obuća - Anatomska obuća - Klompe";"44,99";"54,99";"37, 40";"crna";"Dostupno";"https://woolf.hr/klompe-s-jastukom-proizvod-10738/"
"KOA01_N_WHITE";"BIANCOMOLINA KLOMPE S JASTUKOM";"BIANCOMOLINA";"Žensko - Obuća - Anatomska obuća - Klompe";"44,99";"54,99";"36";"bijela";"Dostupno";"https://woolf.hr/klompe-s-jastukom-proizvod-11404/"
"KOA01_R_WHITE";"BIANCOMOLINA KLOMPE S JASTUKOM";"BIANCOMOLINA";"Žensko - Obuća - Anatomska obuća - Klompe";"49,49";"54,99";"37";"bijela";"Dostupno";"https://woolf.hr/klompe-s-jastukom-proizvod-11405/"
"KOA01_W_WHITE";"BIANCOMOLINA KLOMPE S JASTUKOM";"BIANCOMOLINA";"Žensko - Obuća - Anatomska obuća - Klompe";"44,99";"54,99";"36, 42";"bijela";"Dostupno";"https://woolf.hr/klompe-s-jastukom-proizvod-11406/"
"KOA01_Z_WHITE";"BIANCOMOLINA KLOMPE S JASTUKOM";"BIANCOMOLINA";"Žensko - Obuća - Anatomska obuća - Klompe";"46,99";"54,99";"36";"bijela";"Dostupno";"https://woolf.hr/klompe-s-jastukom-proizvod-11407/"
"KOA01_RED";"BIANCOMOLINA KLOMPE S JASTUKOM";"BIANCOMOLINA";"Žensko - Obuća - Anatomska obuća - Klompe";"44,99";"54,99";"36, 42";"crvena";"Dostupno";"https://woolf.hr/klompe-s-jastukom-proizvod-11422/"
"KOA01_W_PINK";"BIANCOMOLINA KLOMPE S JASTUKOM";"BIANCOMOLINA";"Žensko - Obuća - Anatomska obuća - Klompe";"44,99";"54,99";"36, 42";"pink";"Dostupno";"https://woolf.hr/klompe-s-jastukom-proizvod-11436/"
"KOA01_C_PINK";"BIANCOMOLINA KLOMPE S JASTUKOM";"BIANCOMOLINA";"Žensko - Obuća - Anatomska obuća - Klompe";"44,99";"54,99";"36, 40";"pink";"Dostupno";"https://woolf.hr/klompe-s-jastukom-proizvod-11438/"
"KOA01_C_FLOWER";"BIANCOMOLINA KLOMPE S JASTUKOM";"BIANCOMOLINA";"Žensko - Obuća - Anatomska obuća - Klompe";"44,99";"54,99";"36";"cvjetna";"Dostupno";"https://woolf.hr/klompe-s-jastukom-proizvod-11439/"
