"Šifra";"Prethodna sidrena (redovna)";"Ispravljena sidrena (akcijska)";"Aktualna cijena u snapshotu";"Redovna cijena u snapshotu"
"B907240_GREY";"23,99";"20,99";"20,99";"23,99"
"BALIS_SILVER";"26,41";"17,09";"17,09";"26,41"
"BESTBOY_BLACK";"39,99";"34,99";"34,99";"39,99"
"BESTRUN_BLACK";"39,99";"34,99";"34,99";"39,99"
"BG166_RED";"17,99";"16,19";"16,19";"17,99"
"BKKX7110_BLACK";"41,99";"21,99";"21,99";"41,99"
"BORKUM_42FLOWER";"34,99";"31,49";"31,49";"34,99"
"BORKUM_BLACK";"32,99";"29,99";"29,99";"32,99"
"BORKUM_FLOWER";"34,99";"31,49";"31,49";"34,99"
"BORKUM_NEWS";"34,99";"31,49";"31,49";"34,99"
"BORKUM_RED";"32,99";"29,99";"29,99";"32,99"
"BORKUM_WHITE";"32,99";"29,99";"29,99";"32,99"
"C128C_RED";"26,41";"17,99";"17,99";"26,41"
"C882_BLACK";"39,99";"30,99";"30,99";"39,99"
"C2455_BEIGE";"9,99";"7,99";"7,99";"9,99"
"C8051_BLACK";"19,99";"15,99";"15,99";"19,99"
"CHE243M101_01";"38,99";"34,99";"34,99";"38,99"
"CHE251M102_01";"16,99";"14,99";"14,99";"16,99"
"CHE251M102_02";"16,99";"14,99";"14,99";"16,99"
"CHF241B125_10_WHITE";"39,99";"29,99";"29,99";"39,99"
"CHF241B150_02";"35,99";"28,90";"28,90";"35,99"
"CHF241B403_06";"18,99";"12,99";"12,99";"18,99"
"CHF241G125_08_WHITE";"41,99";"31,99";"31,99";"41,99"
"CHF241G151_10";"39,99";"28,99";"28,99";"39,99"
"CHF241M100_01";"51,99";"36,99";"36,99";"51,99"
"CHF251B109_61";"44,99";"29,99";"29,99";"44,99"
"CHF251B418_22";"18,99";"14,99";"14,99";"18,99"
"CHF251F105_01_BLACK";"59,99";"39,00";"39,00";"59,99"
"CHF251F110_11";"62,99";"48,00";"48,00";"62,99"
"CHF251F120_06";"58,99";"39,00";"39,00";"58,99"
"CHF251F120_10";"58,99";"45,00";"45,00";"58,99"
"CHF251G105_01";"37,99";"29,99";"29,99";"37,99"
"CHF251M117_02";"59,99";"39,90";"39,90";"59,99"
"CHF251M117_30";"55,99";"39,99";"39,99";"55,99"
"CHF261M111_02";"54,90";"43,92";"43,92";"54,90"
"CONNECT_BLACK_WHT";"39,99";"35,99";"35,99";"39,99"
"CONNECT_BLK_GREY";"39,99";"35,99";"35,99";"39,99"
"CONNECT_RED_WHT";"39,99";"35,99";"35,99";"39,99"
"D_175_BLACK";"44,99";"36,99";"36,99";"44,99"
"D_300_BLACK";"44,99";"40,49";"40,49";"44,99"
"D_300_BRONZE";"47,99";"42,99";"42,99";"47,99"
"D_300_FLOWER";"44,99";"42,74";"42,74";"44,99"
"D_312_DOKTOR";"47,99";"41,99";"41,99";"47,99"
"D_312_FLOWER";"42,99";"37,99";"37,99";"42,99"
"D_312_FLOWER_K";"42,99";"38,69";"38,69";"42,99"
"D_312_PLUTASILVER";"49,99";"44,99";"44,99";"49,99"
"D_312_SILVER";"47,99";"41,99";"41,99";"47,99"
"D_314_WHITE";"52,99";"47,99";"47,99";"52,99"
"D_315_FLOWER";"52,99";"48,99";"48,99";"52,99"
"D_316_BLACK";"52,99";"48,99";"48,99";"52,99"
"D_316_BRONZE";"52,99";"48,99";"48,99";"52,99"
"D_316_FLOWER";"52,99";"47,99";"47,99";"52,99"
"D_316_SILVER";"52,99";"48,99";"48,99";"52,99"
"D_316_WHITE_K";"52,99";"48,99";"48,99";"52,99"
"D_317_K_BLACK";"52,99";"48,99";"48,99";"52,99"
"D_322_PWDSILV_K";"52,99";"47,69";"47,69";"52,99"
"D314_PERLA";"51,99";"46,99";"46,99";"51,99"
"D314_WHITE";"51,99";"46,99";"46,99";"51,99"
"D315_FLOWER";"51,99";"46,99";"46,99";"51,99"
"DBS9139_BEIGE";"25,99";"22,99";"22,99";"25,99"
"EBU_NAVY";"26,99";"19,99";"19,99";"26,99"
"EBU_PURPLE";"26,99";"19,99";"19,99";"26,99"
"EMY_RED";"22,99";"19,99";"19,99";"22,99"
"ENI_BLUE";"24,99";"19,99";"19,99";"24,99"
"ERIC_FUXIA";"42,99";"29,99";"29,99";"42,99"
"ERIC_ORANGE";"48,99";"29,99";"29,99";"48,99"
"ERIC_ORANGE_BLUE";"35,70";"24,99";"24,99";"35,70"
"ERZBERG_GREY";"62,25";"39,99";"39,99";"62,25"
"F01_BLACK_NN";"54,99";"49,99";"49,99";"54,99"
"F01_HEART_C";"59,59";"52,99";"52,99";"59,59"
"F01_RED_C";"59,59";"44,99";"44,99";"59,59"
"F01_RED_NN";"59,59";"52,99";"52,99";"59,59"
"F05_FLOWER_1C";"62,25";"54,99";"54,99";"62,25"
"F05_FLOWER_CP";"62,25";"54,99";"54,99";"62,25"
"F419_BLACK";"30,99";"26,99";"26,99";"30,99"
"F81021_BLACK";"18,45";"13,09";"13,09";"18,45"
"FF01_1_BLACK";"62,99";"54,99";"54,99";"62,99"
"FF01_1_TERAKOTA";"62,99";"57,99";"57,99";"62,99"
"FF01_1TERAKOTA";"62,99";"54,99";"54,99";"62,99"
"FF01_HEART";"62,99";"54,99";"54,99";"62,99"
"FF01_PERLA";"62,99";"54,99";"54,99";"62,99"
"FF05_P_WHITE";"62,25";"56,99";"56,99";"62,25"
"FF200_WHITE_P";"54,99";"51,99";"51,99";"54,99"
"FLYDE_BLK_WHT";"21,99";"18,99";"18,99";"21,99"
"G30_BEIGE";"31,99";"27,99";"27,99";"31,99"
"GL173_BORDO";"19,99";"16,99";"16,99";"19,99"
"GROSSGLOCKNER_GREY_FUCHSIA";"48,97";"26,99";"26,99";"48,97"
"GS58P_BEIGE";"24,99";"21,99";"21,99";"24,99"
"H8308_SILVER";"32,99";"26,99";"26,99";"32,99"
"H8308_WHITE";"32,99";"26,99";"26,99";"32,99"
"H9102_BEIGE";"27,99";"24,99";"24,99";"27,99"
"HAMBURG_CRVENA";"11,81";"7,79";"7,79";"11,81"
"HG22883_GOLD";"15,79";"11,99";"11,99";"15,79"
"HJ52_NAVY";"20,99";"17,99";"17,99";"20,99"
"HJ53_NAVY";"20,99";"17,99";"17,99";"20,99"
"HJ61_BLACK";"20,99";"17,99";"17,99";"20,99"
"HJ65_BLACK";"22,99";"19,99";"19,99";"22,99"
"HJ70_PINK";"22,99";"19,99";"19,99";"22,99"
"HJ71_PINK";"22,99";"19,99";"19,99";"22,99"
"HJ73_PINK";"20,99";"18,99";"18,99";"20,99"
"HJ76_BLACK";"22,99";"19,99";"19,99";"22,99"
"HJ79_BLACK";"22,99";"19,99";"19,99";"22,99"
"HJ81_BLACK";"22,99";"19,99";"19,99";"22,99"
"HOGUN_GREY_ORANGE";"66,23";"32,99";"32,99";"66,23"
"HPF352_S001_PINKBUTERFY";"24,99";"21,99";"21,99";"24,99"
"HPF352_S003BLACK";"24,99";"19,99";"19,99";"24,99"
"HPF352_S12_WHITE";"21,99";"18,99";"18,99";"21,99"
"HPF352_S62_BROWN";"21,99";"18,99";"18,99";"21,99"
"HPF352S003_BLACK";"22,99";"18,99";"18,99";"22,99"
"HPM360_S041_WHITE";"21,99";"18,99";"18,99";"21,99"
"HPM360_S042_WHITE";"22,99";"19,99";"19,99";"22,99"
"I_LOVE_MAMA_CRNA";"11,81";"7,79";"7,79";"11,81"
"I_LOVE_MAMA_SIVA";"11,81";"7,79";"7,79";"11,81"
"I_LOVE_PAPA_PLAVA";"11,81";"7,79";"7,79";"11,81"
"I_LOVE_PAPA_SIVA";"11,81";"7,79";"7,79";"11,81"
"I_LOVE_PAPA_SVPLAVA";"11,81";"7,79";"7,79";"11,81"
"JH332_BLACK";"28,99";"22,99";"22,99";"28,99"
"JH375_BLACK";"29,99";"26,99";"26,99";"29,99"
"JH375_PINK";"29,99";"26,99";"26,99";"29,99"
"JH390_BEIGE";"29,99";"26,99";"26,99";"29,99"
"JPF370_1GREY";"21,99";"16,99";"16,99";"21,99"
"JPF370_BLACK";"21,99";"16,99";"16,99";"21,99"
"JPF370_GREEN";"21,99";"16,99";"16,99";"21,99"
"JPF370_GREY";"21,99";"16,99";"16,99";"21,99"
"JPF370_PINK";"21,99";"16,99";"16,99";"21,99"
"JPF370_PURPLE";"21,99";"16,99";"16,99";"21,99"
"JPF370_RED";"21,99";"16,99";"16,99";"21,99"
"JPF370_YELLOW";"21,99";"16,99";"16,99";"21,99"
"K391_BLACK";"39,99";"20,99";"20,99";"39,99"
"K3502293_1PINK";"5,99";"4,79";"4,79";"5,99"
"K3502293_BLUE";"5,99";"4,79";"4,79";"5,99"
"K3502293_GREEN";"5,99";"4,79";"4,79";"5,99"
"K3502293_PINK";"5,99";"4,79";"4,79";"5,99"
"KO154_RED_W";"42,99";"35,99";"35,99";"42,99"
"KO360_BLACK";"47,99";"39,99";"39,99";"47,99"
"KO360_BLUE";"47,99";"39,99";"39,99";"47,99"
"KO360_RED";"47,99";"39,99";"39,99";"47,99"
"KO910_BLACK";"43,99";"36,99";"36,99";"43,99"
"KO910_WHITE";"43,99";"36,99";"36,99";"43,99"
"KO950_BLUE";"48,99";"39,99";"39,99";"48,99"
"KO951_BLACK";"48,99";"39,99";"39,99";"48,99"
"KO953_BLACK";"48,99";"39,99";"39,99";"48,99"
"KO2019_BLACK";"53,99";"49,99";"49,99";"53,99"
"KO2019_RED";"53,99";"49,99";"49,99";"53,99"
"KO2019_WHITE";"54,99";"49,99";"49,99";"54,99"
"KO3100_BLACK";"36,99";"29,99";"29,99";"36,99"
"KO3100_WHITE";"36,99";"29,99";"29,99";"36,99"
"KOA01_BLACK_CP";"54,99";"44,99";"44,99";"54,99"
"KOA01_C_FLOWER";"54,99";"44,99";"44,99";"54,99"
"KOA01_C_PINK";"54,99";"44,99";"44,99";"54,99"
"KOA01_HEART";"54,99";"49,99";"49,99";"54,99"
"KOA01_HEART_K";"62,99";"47,99";"47,99";"62,99"
"KOA01_N_WHITE";"54,99";"44,99";"44,99";"54,99"
"KOA01_P_GREEN";"54,99";"44,99";"44,99";"54,99"
"KOA01_R_WHITE";"54,99";"49,49";"49,49";"54,99"
"KOA01_RED";"54,99";"44,99";"44,99";"54,99"
"KOA01_W_PINK";"54,99";"44,99";"44,99";"54,99"
"KOA01_W_WHITE";"54,99";"44,99";"44,99";"54,99"
"KOA01_WHITE_C";"49,99";"44,99";"44,99";"49,99"
"KOA01_Z_GREEN";"54,99";"44,99";"44,99";"54,99"
"KOA01_Z_WHITE";"54,99";"46,99";"46,99";"54,99"
"KOA05_1_WHITE";"54,99";"49,99";"49,99";"54,99"
"KOA05_C_BLACK";"54,99";"44,99";"44,99";"54,99"
"KOA05_C_FLOWER";"54,99";"44,99";"44,99";"54,99"
"KOA05_C_HEART";"54,99";"44,99";"44,99";"54,99"
"KOA05_FLOWER";"54,99";"44,99";"44,99";"54,99"
"KOA06_SILVER";"54,99";"44,99";"44,99";"54,99"
"KOF01_1_GREEN";"54,99";"44,99";"44,99";"54,99"
"KOF01_2_RED";"54,99";"44,99";"44,99";"54,99"
"KOF01_3RED";"54,99";"49,49";"49,49";"54,99"
"KOF01_BLACK";"54,99";"44,99";"44,99";"54,99"
"KOF01_C_GREEN";"54,99";"44,99";"44,99";"54,99"
"KOF01_C_RED";"54,99";"44,99";"44,99";"54,99"
"KOF01_C_WHITE";"54,99";"49,99";"49,99";"54,99"
"KOF01_C1_PINK";"54,99";"44,99";"44,99";"54,99"
"KOF01_FLOWER";"54,99";"49,99";"49,99";"54,99"
"KOF01_GREEN";"54,99";"44,99";"44,99";"54,99"
"KOF01_HEART";"54,99";"44,99";"44,99";"54,99"
"KOF01_NN_RED";"54,99";"44,99";"44,99";"54,99"
"KOF01_Z_GREEN";"54,99";"44,99";"44,99";"54,99"
"KOF05_C_HEART";"54,99";"44,99";"44,99";"54,99"
"KOF05_FLOWER";"54,99";"49,99";"49,99";"54,99"
"KOF06_SILVER";"54,99";"44,99";"44,99";"54,99"
"KOF200_RED";"52,99";"47,99";"47,99";"52,99"
"KOV202_PINK";"36,99";"32,99";"32,99";"36,99"
"KROKO_ORANGE";"7,83";"3,79";"3,79";"7,83"
"KROKO_RED";"7,83";"3,85";"3,85";"7,83"
"L973_BLACK";"25,99";"23,99";"23,99";"25,99"
"LB111_BLACK";"69,00";"64,99";"64,99";"69,00"
"LB111_BLUE";"69,00";"64,99";"64,99";"69,00"
"LB111_GRAY";"69,00";"64,99";"64,99";"69,00"
"LB111_TURKUAZ";"69,00";"64,99";"64,99";"69,00"
"LET651_BLACK";"27,99";"22,99";"22,99";"27,99"
"LT417_BLACK";"26,99";"23,99";"23,99";"26,99"
"LTF203F101_01";"48,97";"38,29";"38,29";"48,97"
"LTF221G106_10";"32,99";"29,99";"29,99";"32,99"
"LTF231G100_03";"39,99";"28,99";"28,99";"39,99"
"LTF231G104_07";"34,99";"26,90";"26,90";"34,99"
"LTF231M101_62";"54,99";"39,00";"39,00";"54,99"
"LTF231M103_01";"54,99";"35,99";"35,99";"54,99"
"LTF231M108_01";"49,99";"39,99";"39,99";"49,99"
"LTF241B111_01";"42,99";"32,99";"32,99";"42,99"
"LTF241B117_64";"39,99";"32,99";"32,99";"39,99"
"LTF241B119_64";"44,99";"29,00";"29,00";"44,99"
"LTF241F107_1X";"50,99";"39,00";"39,00";"50,99"
"LTF241F107_10";"50,99";"37,99";"37,99";"50,99"
"LTF241G404_46";"16,99";"9,99";"9,99";"16,99"
"LTF241M125_64";"44,99";"39,99";"39,99";"44,99"
"LTF243B101_02";"41,99";"32,99";"32,99";"41,99"
"LTF243G103_01";"42,99";"34,99";"34,99";"42,99"
"LTF251F105_82";"50,99";"44,99";"44,99";"50,99"
"LTF251M109_10";"57,99";"39,00";"39,00";"57,99"
"LTF261F401_LILA";"21,99";"16,99";"16,99";"21,99"
"LTF261F401_WHITE";"21,99";"16,99";"16,99";"21,99"
"LYDIA_BEIGE";"66,23";"34,99";"34,99";"66,23"
"M184_R_BLACK";"24,99";"22,49";"22,49";"24,99"
"M189_BEIGE";"24,90";"22,49";"22,49";"24,90"
"M189_BROWN";"24,90";"22,49";"22,49";"24,90"
"M189_FLOWER";"24,90";"22,49";"22,49";"24,90"
"M189_RED";"24,90";"22,49";"22,49";"24,90"
"M191_G_FLOWER";"24,99";"22,99";"22,99";"24,99"
"M191_HEART";"24,99";"22,99";"22,99";"24,99"
"M191_VJE";"24,99";"22,99";"22,99";"24,99"
"M202_1FLOWER";"24,99";"22,49";"22,49";"24,99"
"M202_3_WHITE";"24,99";"22,49";"22,49";"24,99"
"M202_BLKFLOWER";"24,99";"22,99";"22,99";"24,99"
"M202_FLOWER";"24,99";"22,49";"22,49";"24,99"
"M202_LEPTIR";"24,99";"22,49";"22,49";"24,99"
"M202_LEPTIR2";"24,99";"22,99";"22,99";"24,99"
"M202_LEPTIR3";"24,99";"22,99";"22,99";"24,99"
"M202_LEPTIR4";"24,99";"22,49";"22,49";"24,99"
"METE_BLACK";"21,99";"18,99";"18,99";"21,99"
"MING_BROWN";"22,43";"18,99";"18,99";"22,43"
"MYLO_1_BROWN";"21,99";"19,99";"19,99";"21,99"
"MYLO_1BLACK";"21,99";"19,99";"19,99";"21,99"
"N27_BLACK";"23,76";"12,00";"12,00";"23,76"
"N357_3_FLOWER";"39,99";"35,99";"35,99";"39,99"
"NPF352_A14";"26,90";"24,99";"24,99";"26,90"
"NPF352_A15";"26,90";"24,99";"24,99";"26,90"
"NPF352_A24";"26,90";"24,99";"24,99";"26,90"
"NPF352_A25";"26,90";"24,99";"24,99";"26,90"
"NPF352_A26";"26,90";"24,99";"24,99";"26,90"
"NPF352_A27";"26,90";"24,99";"24,99";"26,90"
"NPF352_LA012_BORDO";"27,99";"24,99";"24,99";"27,99"
"NPF352_LA012_GREEN";"27,99";"24,99";"24,99";"27,99"
"NPF362_K_GOLDEN";"27,99";"24,99";"24,99";"27,99"
"NPF380_1BROWN";"27,99";"24,99";"24,99";"27,99"
"NPF380_2_BROWN";"27,99";"24,99";"24,99";"27,99"
"NPF380_BLACK";"27,99";"24,99";"24,99";"27,99"
"NPF380_K_GREY";"27,99";"25,19";"25,19";"27,99"
"NPF380_LA003_1GREEN";"27,99";"24,99";"24,99";"27,99"
"NPF380_LA003_WHITE";"27,99";"24,99";"24,99";"27,99"
"NPF380_YELLOW";"27,99";"24,99";"24,99";"27,99"
"OD_ACID_GREEN";"14,90";"7,90";"7,90";"14,90"
"OD_ELECTR_YELLOW";"14,90";"7,90";"7,90";"14,90"
"OD_MELLOW_YELLOW";"14,90";"7,90";"7,90";"14,90"
"OD_RUBY_HAZE";"14,90";"7,90";"7,90";"14,90"
"OPATIJA_BEIGE";"13,14";"11,49";"11,49";"13,14"
"OPATIJA_BLACK";"13,14";"11,49";"11,49";"13,14"
"OPATIJA_CRVENA";"13,14";"11,49";"11,49";"13,14"
"OPATIJA_PLAVA";"13,14";"11,49";"11,49";"13,14"
"OPATIJA_ROYAL";"13,14";"11,49";"11,49";"13,14"
"ORTLER_GREY";"51,63";"25,00";"25,00";"51,63"
"P1741_18_BLACK";"21,99";"18,99";"18,99";"21,99"
"P1741_18_BROWN";"21,99";"18,99";"18,99";"21,99"
"PC_4002_BLACK";"14,99";"13,49";"13,49";"14,99"
"PC_4002_WHITE";"14,99";"13,49";"13,49";"14,99"
"PC_5002_BLACK";"14,99";"13,49";"13,49";"14,99"
"PC_5002_WHITE";"14,99";"13,49";"13,49";"14,99"
"PU_100_36_41blk";"33,99";"31,99";"31,99";"33,99"
"PU_100_36_41wht";"33,99";"31,99";"31,99";"33,99"
"PU_100_M_WHITE";"36,99";"33,99";"33,99";"36,99"
"PU_100_MINT";"33,99";"31,99";"31,99";"33,99"
"PU_100_N_PERLA";"33,99";"31,99";"31,99";"33,99"
"PU_100_N_SILVER";"33,99";"31,99";"31,99";"33,99"
"PU100_M_BLACK";"36,99";"33,99";"33,99";"36,99"
"PU101_BROWN";"33,05";"24,99";"24,99";"33,05"
"PU101_N_BLACK";"35,99";"24,99";"24,99";"35,99"
"R105_BLACK";"29,99";"26,99";"26,99";"29,99"
"RAYSE_BLACK";"48,99";"39,99";"39,99";"48,99"
"RB157_BROWN";"42,99";"29,99";"29,99";"42,99"
"RELAZIO_BLACK_GREY";"43,99";"35,90";"35,90";"43,99"
"RELAZIO_TAUPE_SAND";"43,99";"35,90";"35,90";"43,99"
"RIJEKA_CRNA";"13,14";"11,49";"11,49";"13,14"
"RIJEKA_GREY";"13,14";"11,49";"11,49";"13,14"
"S21_BLACK";"28,99";"25,99";"25,99";"28,99"
"S11537_WW002";"49,99";"38,00";"38,00";"49,99"
"S11634_KK001";"54,99";"41,99";"41,99";"54,99"
"S11879_KK001";"59,99";"45,00";"45,00";"59,99"
"S11880_KK001";"52,99";"47,99";"47,99";"52,99"
"S11880_RS520";"52,99";"47,99";"47,99";"52,99"
"S11903_KK01";"54,90";"43,92";"43,92";"54,90"
"S11903_MS009";"54,90";"43,92";"43,92";"54,90"
"S11907_BLACKP";"19,99";"17,99";"17,99";"19,99"
"S11908_BLACK";"19,99";"17,99";"17,99";"19,99"
"S11908_WHITE";"19,99";"17,99";"17,99";"19,99"
"S21840_ES010";"52,96";"35,00";"35,00";"52,96"
"S22155_MS023";"51,99";"46,99";"46,99";"51,99"
"S22158_ES007";"59,99";"35,00";"35,00";"59,99"
"S22159_GS517";"52,99";"47,50";"47,50";"52,99"
"S22162_KK001";"51,99";"38,00";"38,00";"51,99"
"S22162_MS034";"51,99";"38,00";"38,00";"51,99"
"S22548_ES001";"65,99";"48,00";"48,00";"65,99"
"S22551_GS518";"64,99";"51,99";"51,99";"64,99"
"S22551_KK001";"64,99";"51,99";"51,99";"64,99"
"S22553_KK001";"56,99";"39,00";"39,00";"56,99"
"S22584_KK001";"36,99";"33,29";"33,29";"36,99"
"S22588_BLACK_RED";"22,99";"17,99";"17,99";"22,99"
"S22588_BLUE";"22,99";"17,99";"17,99";"22,99"
"S31093_KK001_BLACK";"44,99";"29,99";"29,99";"44,99"
"S32801_WW001";"35,99";"31,99";"31,99";"35,99"
"S33385_SAR";"19,99";"14,99";"14,99";"19,99"
"S33390_PINK";"19,99";"14,99";"14,99";"19,99"
"SAN_CRNE";"7,99";"6,99";"6,99";"7,99"
"SAN_NERO";"9,16";"7,99";"7,99";"9,16"
"SAR35_GREEN";"17,99";"16,99";"16,99";"17,99"
"SAR37_BLACK";"17,99";"15,99";"15,99";"17,99"
"SAR37_GOLD";"17,99";"15,99";"15,99";"17,99"
"SAR37_PINK";"17,99";"15,99";"15,99";"17,99"
"SAR37_RED";"17,99";"15,99";"15,99";"17,99"
"SAR60_GOLD";"17,99";"16,99";"16,99";"17,99"
"SAR60_WHITE";"17,99";"14,99";"14,99";"17,99"
"SCHMITTENHOHE_GREEN";"62,25";"39,99";"39,99";"62,25"
"SF861_BLACK";"27,99";"24,99";"24,99";"27,99"
"SFF_10_BLACK";"6,99";"5,99";"5,99";"6,99"
"SIMON_SPIRALE_BLUE_ORANGE";"35,70";"19,99";"19,99";"35,70"
"SLAY_BEIGE";"20,99";"16,99";"16,99";"20,99"
"sm-001086";"399,00";"319,00";"319,00";"399,00"
"sm-001338";"879,00";"749,00";"749,00";"879,00"
"sm-001412";"249,00";"209,00";"209,00";"249,00"
"sm-001445";"499,00";"439,00";"439,00";"499,00"
"sm-001497";"299,00";"199,00";"199,00";"299,00"
"sm-001525";"1099,00";"999,00";"999,00";"1099,00"
"sm-001545";"499,00";"379,00";"379,00";"499,00"
"sm-001546";"2999,00";"2399,00";"2399,00";"2999,00"
"sm-372191";"229,00";"179,00";"179,00";"229,00"
"SPLIT_BIJELA";"13,14";"11,49";"11,49";"13,14"
"SPLIT_CRNA";"13,14";"11,49";"11,49";"13,14"
"SV_MARTIN_WHITE";"13,14";"11,49";"11,49";"13,14"
"SVANTE_NAVY";"44,99";"40,99";"40,99";"44,99"
"SYNDEY_GREY";"56,00";"48,99";"48,99";"56,00"
"T034_RED";"21,99";"16,99";"16,99";"21,99"
"T057_BLACKROSE";"7,99";"6,99";"6,99";"7,99"
"T057_BLACKWHITE";"7,99";"6,99";"6,99";"7,99"
"T057_NAVYBLUE";"7,99";"6,99";"6,99";"7,99"
"T057_ROSEPINK";"7,99";"6,99";"6,99";"7,99"
"TANER_BLACK";"29,99";"26,99";"26,99";"29,99"
"TANO_BLACK";"29,99";"26,99";"26,99";"29,99"
"TRLOL22_42_BLUE";"19,78";"12,99";"12,99";"19,78"
"U_31_WHITE";"52,99";"47,69";"47,69";"52,99"
"UMF211M102_01";"42,99";"29,99";"29,99";"42,99"
"UMF211M102_1V";"42,99";"29,99";"29,99";"42,99"
"UMF223B117_42";"43,67";"35,69";"35,69";"43,67"
"UMF223M109_10";"52,96";"29,99";"29,99";"52,96"
"UMF223M115_25";"48,97";"29,99";"29,99";"48,97"
"UMF231B113_01";"38,99";"29,99";"29,99";"38,99"
"UMF231B114_02";"42,99";"29,99";"29,99";"42,99"
"UMF231B119_01";"37,99";"29,99";"29,99";"37,99"
"UMF231B119_20";"37,99";"29,99";"29,99";"37,99"
"UMF231M104_67";"42,99";"29,99";"29,99";"42,99"
"UMF231M108_1U";"42,99";"29,99";"29,99";"42,99"
"UMF231M108_02";"42,99";"29,99";"29,99";"42,99"
"UMF231M108_45";"42,99";"29,99";"29,99";"42,99"
"UMF231M109_1U";"51,99";"29,99";"29,99";"51,99"
"UMF231M118_20";"42,99";"29,99";"29,99";"42,99"
"UMF231M121_02";"49,99";"29,99";"29,99";"49,99"
"UNTERSBERG_GREY";"62,25";"39,69";"39,69";"62,25"
"URCPP21_13_PURPLE";"23,76";"19,99";"19,99";"23,76"
"V202_1_NAVY";"43,67";"32,99";"32,99";"43,67"
"V202_GREEN";"43,67";"35,99";"35,99";"43,67"
"V202_GREEPEARL";"49,99";"39,99";"39,99";"49,99"
"V202_M_BLACK";"49,99";"43,99";"43,99";"49,99"
"V202_M_NAVY";"43,67";"35,99";"35,99";"43,67"
"V202_M_WHITE";"49,99";"43,99";"43,99";"49,99"
"V202_N_BLACK";"43,67";"37,99";"37,99";"43,67"
"V202_N_WHITE";"43,67";"37,99";"37,99";"43,67"
"V202_PERLA_1";"43,67";"38,99";"38,99";"43,67"
"V202_ROSE";"43,67";"36,99";"36,99";"43,67"
"V260_BEIGE";"39,99";"32,99";"32,99";"39,99"
"V260_BLACK";"47,99";"37,99";"37,99";"47,99"
"V260_PERLA";"47,99";"37,99";"37,99";"47,99"
"V260_WHITE";"47,99";"37,99";"37,99";"47,99"
"V261_BLACK";"46,99";"37,99";"37,99";"46,99"
"V261_BLACK_FLOWER";"43,67";"29,99";"29,99";"43,67"
"V261_PERLA";"46,99";"37,99";"37,99";"46,99"
"V261_WHITE";"46,99";"37,99";"37,99";"46,99"
"V263_1_PINK";"42,99";"34,99";"34,99";"42,99"
"VISTA_RED";"13,14";"10,49";"10,49";"13,14"
"W2193GW_ROYAL";"45,99";"41,99";"41,99";"45,99"
"W7031_GREY";"39,99";"35,99";"35,99";"39,99"
"W7035A_BLACK";"39,99";"35,99";"35,99";"39,99"
"W7035A_SIVA";"39,99";"35,99";"35,99";"39,99"
"WD166_BRONZE";"27,99";"24,99";"24,99";"27,99"
"WL587_BLACK";"37,99";"30,99";"30,99";"37,99"
"WL587_BROWN";"37,99";"30,99";"30,99";"37,99"
"WLF22_59_BEIGE";"19,99";"14,99";"14,99";"19,99"
"WLF22_104_NAVY";"17,12";"13,09";"13,09";"17,12"
"WLF22_120_WHITE";"9,16";"7,99";"7,99";"9,16"
"WLF22_142_1BROWN";"7,79";"6,99";"6,99";"7,79"
"WLF22_142_BROWN";"7,79";"6,99";"6,99";"7,79"
"WLF22_142_PEACH";"7,79";"6,99";"6,99";"7,79"
"WLF22_142_TOURQUISE";"7,79";"6,99";"6,99";"7,79"
"WLF347_BLUE";"15,79";"7,99";"7,99";"15,79"
"WLF622025_BORDO";"29,99";"24,99";"24,99";"29,99"
"WLFP26_BLUE";"15,99";"12,99";"12,99";"15,99"
"WLFP26_GREY1";"15,99";"12,99";"12,99";"15,99"
"WLFP26_PINK";"15,99";"12,99";"12,99";"15,99"
"WLFP26_WHITE";"15,99";"12,99";"12,99";"15,99"
"WLFP031_WHITE";"7,99";"5,99";"5,99";"7,99"
"WLFP46_PINK";"26,41";"12,99";"12,99";"26,41"
"WLFP47_GREY";"26,41";"12,99";"12,99";"26,41"
"WLFP53_NAVY";"35,70";"19,99";"19,99";"35,70"
"WLFP088_RED";"9,99";"7,99";"7,99";"9,99"
"WLFP121_BEIGE";"29,99";"24,99";"24,99";"29,99"
"WLFP121_BLACK";"33,05";"14,99";"14,99";"33,05"
"WLFP0139_GREEN";"11,99";"4,99";"4,99";"11,99"
"WLFP0140_BLUE";"11,99";"4,99";"4,99";"11,99"
"WLFP0146_NAVY";"24,99";"19,99";"19,99";"24,99"
"WLFP0158_NAVY";"24,99";"19,99";"19,99";"24,99"
"WLFP173_BLACK";"26,41";"19,99";"19,99";"26,41"
"WLFP196_1GREY";"5,99";"3,99";"3,99";"5,99"
"WLFP196_PINK";"5,09";"3,99";"3,99";"5,09"
"WLFP196_PINKI";"5,99";"3,99";"3,99";"5,99"
"WLFP198_PINK";"17,12";"13,09";"13,09";"17,12"
"WLFP203_GREEN";"11,81";"4,99";"4,99";"11,81"
"WLFP203_PURPLE";"8,99";"4,99";"4,99";"8,99"
"WLFP0207_GREY";"13,99";"9,99";"9,99";"13,99"
"WLFP221_PINK";"14,47";"4,99";"4,99";"14,47"
"WLFP222_NAVY";"14,47";"4,99";"4,99";"14,47"
"WLFP0230_1BLUE";"17,99";"14,99";"14,99";"17,99"
